Year,Coal (thousand tons),Natural Gas (million cubic feet),Crude Oil (thousand barrels),Fuel Ethanol (thousand barrels),Biodiesel (thousand barrels),Renewable Diesel (thousand barrels,Other Biofuels (thousand barrels)
1960,"436,425","12,771,038","2,574,933",NA,NA,NA,NA
1961,"422,535","13,254,025","2,621,758",NA,NA,NA,NA
1962,"441,072","13,876,622","2,676,189",NA,NA,NA,NA
1963,"479,356","14,746,663","2,752,723",NA,NA,NA,NA
1964,"506,453","15,546,592","2,786,822",NA,NA,NA,NA
1965,"529,355","16,039,753","2,848,514",NA,NA,NA,NA
1966,"549,065","17,206,628","3,027,763",NA,NA,NA,NA
1967,"567,031","18,171,325","3,215,742",NA,NA,NA,NA
1968,"558,995","19,322,400","3,329,042",NA,NA,NA,NA
1969,"573,226","20,698,240","3,371,751",NA,NA,NA,NA
1970,"614,969","21,920,642","3,517,450",NA,NA,NA,NA
1971,"563,122","22,493,012","3,453,914",NA,NA,NA,NA
1972,"602,491","22,531,698","3,455,368",NA,NA,NA,NA
1973,"598,569","22,647,549","3,360,903",NA,NA,NA,NA
1974,"610,021","21,600,522","3,202,585",NA,NA,NA,NA
1975,"654,641","20,108,661","3,056,779",NA,NA,NA,NA
1976,"684,914","19,952,438","2,976,180",NA,NA,NA,NA
1977,"697,205","20,025,463","3,009,265",NA,NA,NA,NA
1978,"670,164","19,974,033","3,178,216",NA,NA,NA,NA
1979,"781,135","20,471,260","3,121,310",NA,NA,NA,NA
1980,"829,747","20,179,724","3,146,365",NA,NA,NA,NA
1981,"823,771","19,955,823","3,128,624","1,978",NA,NA,NA
1982,"838,096","18,582,001","3,156,715","5,369",NA,NA,NA
1983,"781,905","16,884,095","3,170,999","9,890",NA,NA,NA
1984,"895,798","18,304,341","3,249,696","12,150",NA,NA,NA
1985,"883,640","17,270,223","3,274,553","14,693",NA,NA,NA
1986,"890,316","16,858,673","3,168,252","16,954",NA,NA,NA
1987,"918,760","17,432,903","3,047,378","19,497",NA,NA,NA
1988,"950,266","17,918,463","2,979,126","19,780",NA,NA,NA
1989,"980,741","18,095,148","2,778,771","20,062",NA,NA,NA
1990,"1,029,077","18,593,792","2,684,679","17,802",NA,NA,NA
1991,"995,984","18,532,439","2,707,043","20,627",NA,NA,NA
1992,"997,543","18,711,808","2,624,631","23,453",NA,NA,NA
1993,"945,425","18,981,915","2,499,044","27,484",NA,NA,NA
1994,"1,033,507","19,709,525","2,431,483","30,689",NA,NA,NA
1995,"1,032,973","19,506,474","2,394,268","32,325",NA,NA,NA
1996,"1,063,858","19,812,241","2,366,021","23,178",NA,NA,NA
1997,"1,089,933","19,866,092","2,354,832","30,674",NA,NA,NA
1998,"1,117,533","19,961,349","2,281,921","33,453",NA,NA,NA
1999,"1,100,470","19,804,848","2,146,726","34,881",NA,NA,NA
2000,"1,073,611","20,197,510","2,130,720","38,627",NA,NA,NA
2001,"1,127,687","20,570,293","2,117,521","42,028",204,0,0
2002,"1,094,283","19,884,781","2,096,587","50,956",250,0,0
2003,"1,071,752","19,974,358","2,061,994","66,772",338,0,0
2004,"1,112,100","19,517,490","1,991,394","81,058",666,0,0
2005,"1,131,500","18,927,095","1,892,097","92,961","2,162",0,0
2006,"1,162,751","19,409,672","1,856,339","116,294","5,963",0,0
2007,"1,146,636","20,196,348","1,851,973","155,263","11,662",0,0
2008,"1,171,808","21,112,051","1,829,878","221,637","16,145",0,0
2009,"1,074,921","21,647,934","1,955,194","260,424","12,281",0,0
2010,"1,084,369","22,381,873","2,001,805","316,617","8,177",0,0
2011,"1,095,628","24,036,351","2,071,086","331,646","23,035","1,477",0
2012,"1,016,458","25,283,280","2,387,698","314,714","23,588","1,248",0
2013,"984,842","25,562,233","2,736,523","316,493","32,368","2,697",0
2014,"1,000,049","27,497,754","3,209,590","340,781","30,452","3,789",290
2015,"896,941","28,772,045","3,446,185","352,553","30,080","4,211",393
2016,"728,364","28,400,047","3,238,204","366,981","37,327","5,750",503
2017,"774,609","29,237,824","3,416,126","379,435","37,993","6,151",570
2018,"756,167","33,008,867","3,997,971","383,127","44,222","7,273",611
2019,"706,309","36,446,916","4,494,994","375,678","41,060","11,715",791
2020,"535,434","36,202,446","4,142,276","331,928","43,207","12,702",761
2021,"577,431","37,328,379","4,107,584","357,517","40,686","20,503","1,914"
