State,Coal (thousand short tons),Natural Gas (million cubic feet),Crude Oil (thousand barrels),,Fuel  Ethanol (thousand barrels),Biodiesel (thousand barrels),Renewable Diesel (thousand barrels)
Alabama,"9,444","107,233","4,289","46,036",0,297,0
Alaska,"1,042","354,660","159,623",0,0,0,0
Arizona,0,229,6,"31,630",0,0,0
Arkansas,0,"448,187","4,211","13,556",0,"1,115",0
California,0,"140,604","134,612","16,477","2,293",993,"3,328"
Colorado,"11,875","1,879,457","153,423",0,"3,382",0,0
Connecticut,0,0,0,"17,217",0,559,0
Delaware,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0
Florida,0,888,"1,490","28,058",0,0,0
Georgia,0,0,0,"33,952",0,351,0
Hawaii,0,0,0,0,0,131,0
Idaho,0,"1,331",25,0,242,0,0
Illinois,"36,848","2,131","7,057","96,994","34,083","3,966",0
Indiana,"19,470","4,063","1,523",0,"27,520","2,122",0
Iowa,0,0,0,0,"97,418","8,095",0
Kansas,0,"152,986","27,905","8,575","12,670","1,493",43
Kentucky,"26,426","75,373","2,464",0,939,"1,152",0
Louisiana,300,"3,431,429","34,719","17,249",0,0,"9,347"
Maine,0,0,0,0,0,10,0
Maryland,"1,263",5,0,"14,994",0,0,0
Massachusetts,0,0,0,0,0,19,0
Michigan,0,"72,301","4,339","34,338","7,657",329,0
Minnesota,0,0,0,"14,123","30,446","1,817",0
Mississippi,"3,201","27,569","13,434","11,772",0,428,0
Missouri,44,0,60,"4,292","6,493","5,042",0
Montana,"28,580","38,693","18,994",0,0,0,0
Nebraska,0,327,"1,706","6,881","48,251",0,0
Nevada,0,4,218,0,0,0,0
New Hampshire,0,0,0,"9,856",0,110,0
New Jersey,0,0,0,"28,142",0,0,0
New Mexico,"9,265","2,237,706","457,200",0,0,0,0
New York,0,"9,708",147,"31,177","1,375",0,0
North Carolina,0,0,0,"43,118",0,32,0
North Dakota,"26,513","999,025","405,128",0,"12,404","1,813","4,089"
Ohio,"2,759","2,281,193","18,688","17,483","13,988","1,457",0
Oklahoma,1,"2,571,834","143,052",0,0,811,0
Oregon,0,205,0,0,717,190,0
Pennsylvania,"42,422","7,626,504","6,253","75,903","2,838",971,0
Rhode Island,0,0,0,0,0,122,0
South Carolina,0,0,0,"53,771",0,0,0
South Dakota,0,161,"1,028",0,"31,042",0,0
Tennessee,0,"3,602",157,"35,330","4,186",768,0
Texas,"17,250","9,875,390","1,739,660","40,211","6,974","4,036",0
Utah,"12,434","239,405","35,488",0,0,0,0
Vermont,0,0,0,0,0,0,0
Virginia,"10,902","96,044",5,"28,572",0,52,0
Washington,0,0,0,"8,511",0,"1,696","1,408"
West Virginia,"78,620","2,760,429","18,241",0,0,0,0
Wisconsin,0,0,0,"9,970","12,600",708,0
Wyoming,"238,773","1,109,232","85,429",0,0,0,"2,289"
,,,,,,,
Federal Offshore - Gulf of Mexico,,"780,471","623,018",,,,
Federal Offshore - Pacific,,,"3,992",,,,
,,,,,,,
United States,"577,431","37,328,379","4,107,584","778,188","357,517","40,686","4,107,584"
